id,request_id,payment_mode,account_number,amount,currency,note
100,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
101,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
102,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,gsma,003001003874120160,850,USD,Test Payee Payment
103,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,mpesa,003001003873110196,222,USD,Test Payee Payment
104,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,gsma,003001003874120160,850,USD,Test Payee Payment
105,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,gsma,003001003873110196,222,USD,Test Payee Payment
106,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
107,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,gsma,003001003873110196,222,USD,Test Payee Payment
108,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
109,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,mpesa,003001003873110196,222,USD,Test Payee Payment
110,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,mpesa,003001003874120160,850,USD,Test Payee Payment
111,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment

0,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
1,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
2,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
3,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
4,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
5,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
6,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
7,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
8,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
9,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
10,f1e22fe3-9740-4fba-97b6-78f43bfa7f2f,slcb,003001003874120160,850,USD,Test Payee Payment
11,72aa3ea4-e6f6-4880-877f-39f6ac4d052e,slcb,003001003873110196,222,USD,Test Payee Payment
